Filename                                   AMOEBA
016_Li-2Water_0.90                       6.732220
016_Li-2Water_0.95                       5.014532
016_Li-2Water_1.00                       3.803735
016_Li-2Water_1.05                       2.931803
016_Li-2Water_1.10                       2.291961
016_Li-2Water_1.20                       1.452931
016_Li-2Water_1.30                       0.959709
016_Li-2Water_1.40                       0.655871
016_Li-2Water_1.50                       0.461270
016_Li-2Water_2.00                       0.108248
017_Na-2Water_0.90                       3.031625
017_Na-2Water_0.95                       2.239174
017_Na-2Water_1.00                       1.686526
017_Na-2Water_1.05                       1.292182
017_Na-2Water_1.10                       1.005038
017_Na-2Water_1.20                       0.631879
017_Na-2Water_1.30                       0.414698
017_Na-2Water_1.40                       0.281932
017_Na-2Water_1.50                       0.197418
017_Na-2Water_2.00                       0.045648
018_K-2Water_0.90                        3.150522
018_K-2Water_0.95                        2.277177
018_K-2Water_1.00                        1.670372
018_K-2Water_1.05                        1.245853
018_K-2Water_1.10                        0.944638
018_K-2Water_1.20                        0.567747
018_K-2Water_1.30                        0.358737
018_K-2Water_1.40                        0.236130
018_K-2Water_1.50                        0.160796
018_K-2Water_2.00                        0.033735
019_F-2Water_0.90                        4.899013
019_F-2Water_0.95                        4.736182
019_F-2Water_1.00                        4.544381
019_F-2Water_1.05                        4.325223
019_F-2Water_1.10                        4.082361
019_F-2Water_1.20                        3.549595
019_F-2Water_1.30                        3.005967
019_F-2Water_1.40                        2.512301
019_F-2Water_1.50                        2.106398
019_F-2Water_2.00                        1.101010
020_Cl-2Water_0.90                       2.763170
020_Cl-2Water_0.95                       2.075251
020_Cl-2Water_1.00                       1.542281
020_Cl-2Water_1.05                       1.172183
020_Cl-2Water_1.10                       0.940552
020_Cl-2Water_1.20                       0.736858
020_Cl-2Water_1.30                       0.672465
020_Cl-2Water_1.40                       0.629948
020_Cl-2Water_1.50                       0.582335
020_Cl-2Water_2.00                       0.348111
021_Br-2Water_0.90                       1.946900
021_Br-2Water_0.95                       1.371123
021_Br-2Water_1.00                       0.954071
021_Br-2Water_1.05                       0.691422
021_Br-2Water_1.10                       0.550793
021_Br-2Water_1.20                       0.473891
021_Br-2Water_1.30                       0.481137
021_Br-2Water_1.40                       0.480854
021_Br-2Water_1.50                       0.461059
021_Br-2Water_2.00                       0.292267
076_LiF-Li_1.00                          1.841454
076_LiF-Li_1.10                          1.470288
076_LiF-Li_1.20                          1.180237
076_LiF-Li_1.30                          0.959568
076_LiF-Li_1.40                          0.790563
076_LiF-Li_1.50                          0.659000
076_LiF-Li_2.00                          0.301897
077_LiF-F_1.00                          43.995219
077_LiF-F_1.10                          37.739317
077_LiF-F_1.20                          32.211106
077_LiF-F_1.30                          27.473873
077_LiF-F_1.40                          23.455628
077_LiF-F_1.50                          20.060495
077_LiF-F_2.00                           9.633043
078_LiCl-Li_1.00                         0.823424
078_LiCl-Li_1.10                         0.644642
078_LiCl-Li_1.20                         0.515715
078_LiCl-Li_1.30                         0.419756
078_LiCl-Li_1.40                         0.346482
078_LiCl-Li_1.50                         0.289366
078_LiCl-Li_2.00                         0.133624
079_LiCl-Cl_1.00                        54.277251
079_LiCl-Cl_1.10                        45.220019
079_LiCl-Cl_1.20                        37.791812
079_LiCl-Cl_1.30                        31.701520
079_LiCl-Cl_1.40                        26.707958
079_LiCl-Cl_1.50                        22.610425
079_LiCl-Cl_2.00                        10.659353
080_LiBr-Li_1.00                         0.663148
080_LiBr-Li_1.10                         0.520255
080_LiBr-Li_1.20                         0.416782
080_LiBr-Li_1.30                         0.339576
080_LiBr-Li_1.40                         0.280524
080_LiBr-Li_1.50                         0.234444
080_LiBr-Li_2.00                         0.108546
